elem_point_id,code,nom,genre,genre_desc,categorie,categorie_desc,sous_categorie,sous_categorie_desc,code_parent,code_parent_desc,adr_secteur,bien_reference,genre_bota,espece,variete,stadededeveloppement,equipe,remarques,anneedeplantation,raisondeplantation,traitementchenilles,courrier,identifiantplu,typeimplantationplu,intituleprotectionplu,anneeabattage,essouchement,diametrearbre,causeabattage,collectivite,stationmetro,hauteurarbre,portarbre,structure,forme,typenature,geo_point_2d
34835,ESP36318,AR36318,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP237,Av La Bruyère Helbronner au Sq,5,AR36318,Prunus,serrulata,,Arbre jeune,,,2015,Nouveau,,,,,,,,,,Grenoble Alpes Métropole,,,,Métropole de Grenoble,,,"45.167098421885385,5.740131798404362"
34836,ESP36319,AR36319,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP237,Av La Bruyère Helbronner au Sq,5,AR36319,Prunus,serrulata,,Arbre jeune,,,2015,Nouveau,,,,,,,,,,Grenoble Alpes Métropole,,,,Métropole de Grenoble,,,"45.16710682038838,5.740199792549315"
34837,ESP36320,AR36320,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP237,Av La Bruyère Helbronner au Sq,5,AR36320,Prunus,serrulata,,Arbre jeune,,,2015,Nouveau,,,,,,,,,,Grenoble Alpes Métropole,,,,Métropole de Grenoble,,,"45.167115270975415,5.740265608803635"
34838,ESP36321,AR36321,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP237,Av La Bruyère Helbronner au Sq,5,AR36321,Prunus,serrulata,,Arbre jeune,,,2015,Nouveau,,,,,,,,,,Grenoble Alpes Métropole,,,,Métropole de Grenoble,,,"45.16712715617142,5.740349032579623"
34839,ESP36322,AR36322,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP237,Av La Bruyère Helbronner au Sq,5,AR36322,Prunus,serrulata,,Arbre jeune,,,2015,Nouveau,,,,,,,,,,Grenoble Alpes Métropole,,,,Métropole de Grenoble,,,"45.167144245872265,5.740471081600832"
34840,ESP36323,AR36323,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP237,Av La Bruyère Helbronner au Sq,5,AR36323,Prunus,serrulata,,Arbre jeune,,,2015,Nouveau,,,,,,,,,,Grenoble Alpes Métropole,,,,Métropole de Grenoble,,,"45.167155890045244,5.740566266972813"
34841,ESP36324,AR36324,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP237,Av La Bruyère Helbronner au Sq,5,AR36324,Prunus,serrulata,,Arbre jeune,,,2015,Nouveau,,,,,,,,,,Grenoble Alpes Métropole,,,,Métropole de Grenoble,,,"45.167165032554955,5.740635387052583"
34842,ESP36325,AR36325,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP237,Av La Bruyère Helbronner au Sq,5,AR36325,Prunus,serrulata,,Arbre jeune,,,2015,Nouveau,,,,,,,,,,Grenoble Alpes Métropole,,,,Métropole de Grenoble,,,"45.167175507152855,5.740713292500362"
34843,ESP36326,AR36326,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP237,Av La Bruyère Helbronner au Sq,5,AR36326,Prunus,serrulata,,Arbre jeune,,cépée,2015,Nouveau,,,,,,,,,,Grenoble Alpes Métropole,,,,Métropole de Grenoble,Cépée,,"45.16718605989916,5.7407879311073895"
34844,ESP36327,AR36327,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP237,Av La Bruyère Helbronner au Sq,5,AR36327,Prunus,serrulata,,Arbre jeune,,,2015,Nouveau,,,,,,,,,,Grenoble Alpes Métropole,,,,Métropole de Grenoble,,,"45.167195894402155,5.740860354978608"
34845,ESP36328,AR36328,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP237,Av La Bruyère Helbronner au Sq,5,AR36328,Prunus,serrulata,,Arbre jeune,,,2015,Nouveau,,,,,,,,,,Grenoble Alpes Métropole,,,,Métropole de Grenoble,,,"45.16720403178738,5.740939238912734"
34846,ESP36329,AR36329,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP237,Av La Bruyère Helbronner au Sq,5,AR36329,Prunus,serrulata,,Arbre jeune,,,2015,Nouveau,,,,,,,,,,Grenoble Alpes Métropole,,,,Métropole de Grenoble,,,"45.167176468190476,5.741074777117751"
16799,ESP19333,AR19333,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP395,Ave Fenelon Littré  La Bruyère,5,AR19333,Tilia,henryana,,Arbre jeune,,,1975,,,,,,,,,,,Grenoble Alpes Métropole,,Moins de 10 m,Libre,Métropole de Grenoble,,Libre,"45.16734745790881,5.7409722651144675"
43307,ESP39945,AR39945,VEG,VEGETATION,ESP01,Arbre,ESP174,Arbre d'espaces ouverts,ESP1166,Chem du tram,6,AR39945,Carpinus,betulus,,,,,,,,,,,,,,,,Grenoble Alpes Métropole,,,,Métropole de Grenoble,,,"45.162648246758614,5.730963994086281"
43308,ESP39946,AR39946,VEG,VEGETATION,ESP01,Arbre,ESP174,Arbre d'espaces ouverts,ESP1166,Chem du tram,6,AR39946,Carpinus,betulus,,,,,,,,,,,,,,,,Grenoble Alpes Métropole,,,,Métropole de Grenoble,,,"45.162656183471285,5.730988459412491"
43309,ESP39947,AR39947,VEG,VEGETATION,ESP01,Arbre,ESP174,Arbre d'espaces ouverts,ESP1166,Chem du tram,6,AR39947,Carpinus,betulus,,,,,,,,,,,,,,,,Grenoble Alpes Métropole,,,,Métropole de Grenoble,,,"45.162664971709354,5.731011244825317"
43311,ESP39949,AR39949,VEG,VEGETATION,ESP01,Arbre,ESP174,Arbre d'espaces ouverts,ESP1166,Chem du tram,6,AR39949,Koelreuteria,paniculata,,Arbre jeune,,,,,,,,,,,,,,Ville de Grenoble,,Moins de 10 m,Libre,Ecole,,Libre,"45.17554979034301,5.716798325316716"
43312,ESP39950,AR39950,VEG,VEGETATION,ESP01,Arbre,ESP174,Arbre d'espaces ouverts,ESP1166,Chem du tram,6,AR39950,Koelreuteria,paniculata,,Arbre jeune,,,,,,,,,,,,,,Ville de Grenoble,,Moins de 10 m,Libre,Ecole,,Libre,"45.17544742287968,5.71676937841446"
43362,ESP39977,AR39977,VEG,VEGETATION,ESP01,Arbre,ESP174,Arbre d'espaces ouverts,ESP759,R des trois épis 13 à 20,6,AR39977,Carpinus,betulus,,Arbre adulte,,,,,,,,,,,,,,Ville de Grenoble,,de 10 m à 20 m,,Ville de Grenoble,,,"45.16599552895042,5.7374369160000604"
43363,ESP39978,AR39978,VEG,VEGETATION,ESP01,Arbre,ESP174,Arbre d'espaces ouverts,ESP759,R des trois épis 13 à 20,6,AR39978,Carpinus,betulus,,Arbre adulte,,,,,,,,,,,,,,Grenoble Alpes Métropole,,de 10 m à 20 m,,Métropole de Grenoble,,,"45.165995683589074,5.737464734483987"
43364,ESP39979,AR39979,VEG,VEGETATION,ESP01,Arbre,ESP174,Arbre d'espaces ouverts,ESP759,R des trois épis 13 à 20,6,AR39979,Carpinus,betulus,,Arbre adulte,,,,,,,,,,,,,,Grenoble Alpes Métropole,,de 10 m à 20 m,,Métropole de Grenoble,,,"45.16599743434285,5.737494367419101"
43365,ESP39980,AR39980,VEG,VEGETATION,ESP01,Arbre,ESP174,Arbre d'espaces ouverts,ESP759,R des trois épis 13 à 20,6,AR39980,Carpinus,betulus,,Arbre adulte,,,,,,,,,,,,,,Grenoble Alpes Métropole,,de 10 m à 20 m,,Métropole de Grenoble,,,"45.16599873416824,5.737525717006016"
43366,ESP39981,AR39981,VEG,VEGETATION,ESP01,Arbre,ESP174,Arbre d'espaces ouverts,ESP759,R des trois épis 13 à 20,6,AR39981,Carpinus,betulus,,Arbre adulte,,,,,,,,,,,,,,Grenoble Alpes Métropole,,de 10 m à 20 m,,Métropole de Grenoble,,,"45.1659978094467,5.7375986769577425"
43367,ESP39982,AR39982,VEG,VEGETATION,ESP01,Arbre,ESP174,Arbre d'espaces ouverts,ESP759,R des trois épis 13 à 20,6,AR39982,Carpinus,betulus,,Arbre adulte,,,,,,,,,,,,,,Grenoble Alpes Métropole,,de 10 m à 20 m,,Métropole de Grenoble,,,"45.16599890740406,5.737621325934942"
43368,ESP39983,AR39983,VEG,VEGETATION,ESP01,Arbre,ESP174,Arbre d'espaces ouverts,ESP759,R des trois épis 13 à 20,6,AR39983,Carpinus,betulus,,Arbre adulte,,,,,,,,,,,,,,Grenoble Alpes Métropole,,de 10 m à 20 m,,Métropole de Grenoble,,,"45.16600068579345,5.7376498014031005"
15257,ESP18449,AR18449,VEG,VEGETATION,ESP01,Arbre,ESP174,Arbre d'espaces ouverts,ESP273,Parc Paul Valérien Perrin,1,AR18449,Betula,verrucosa,,Arbre adulte,,,1996,,,,,,,,,,,Ville de Grenoble,,de 10 m à 20 m,Libre,Ville de Grenoble,,Libre,"45.18297996190778,5.71341585488316"
22598,ESP28045,AR28045,VEG,VEGETATION,ESP01,Arbre,ESP174,Arbre d'espaces ouverts,ESP273,Parc Paul Valérien Perrin,1,AR28045,Acer,campestre,,Arbre adulte,,,1996,,,,,,,,,,,Ville de Grenoble,,de 10 m à 20 m,,Ville de Grenoble,Tige,,"45.18333813657779,5.714259890794556"
43382,ESP39984,AR39984,VEG,VEGETATION,ESP01,Arbre,ESP174,Arbre d'espaces ouverts,ESP273,Parc Paul Valérien Perrin,1,AR39984,Betula,,,Arbre adulte,,,,,,,,,,,,,,Ville de Grenoble,,de 10 m à 20 m,,Ville de Grenoble,,,"45.18334425965978,5.7142297405817555"
43383,ESP39985,AR39985,VEG,VEGETATION,ESP01,Arbre,ESP174,Arbre d'espaces ouverts,ESP273,Parc Paul Valérien Perrin,1,AR39985,Fagus,sylvatica,,Arbre adulte,,,,,,,,,,,,,,Ville de Grenoble,,de 10 m à 20 m,,Ville de Grenoble,,,"45.18332921604555,5.714282455890975"
26328,ESP12451,AR12451,VEG,VEGETATION,ESP01,Arbre,ESP174,Arbre d'espaces ouverts,ESP273,Parc Paul Valérien Perrin,1,AR12451,Carpinus,betulus,,Arbre adulte,,,1996,,,,,,,,,,,Ville de Grenoble,,de 10 m à 20 m,,Ville de Grenoble,,,"45.183129655235966,5.713692453681176"
